Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
13-Feb-2020			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python	None	None	Introduction to MATLAB	Maybe got through a little bit more, was v good overall	All seemed clear	All good	No	4
13-Feb-2020			Biology, Medicine and Health	Word of mouth	None	None	None	Introduction to MATLAB	Nothing, pretty good for a novice	Scripts to functions	I had no particular expectations, but in the future may have specific things i want to learn	Overall pretty enjoyable. Thanks!	4
13-Feb-2020			Biology, Medicine and Health	Word of mouth	None	None	None	Introduction to MATLAB	emphasised basic definitions eg function. perhaps on a handout / slide.  Same for information about spacing / square brackets etc	creating functions			3
14-Feb-2020			Science and Engineering	StaffNet Learning and Development page	MATLAB	None	None	Introduction to MATLAB	It was great I don’t have computer skills and he did helped me a lot 	None	None	None 	5
18-Feb-2020			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, Python	Git	None	Introduction to HPC using CSF	The session was very helpful and descriptive. 	I liked the way course was structured. There were good hands on experience tutorials.			5
18-Feb-2020			Science and Engineering	StaffNet Learning and Development page	R	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Introduction to HPC using CSF	Place some of the less universally-applicable information in a separate supplementary document/handout.	The differences between scratch and home, and home to easily switch between them/	Would be nice to have an ultimate cheat sheet that contains all of the Linux commands etc on one sheet for future reference.	A lot of slides (particularly in the afternoon) got bogged down in hypothetical examples. I think these are less useful than they seem and it would've helped me if there had been more (and more difficult) practical tasks throughout the session. Some of the additional info regarding how things *work* rather than how to use them could be put into a separate supplementary document for people who are interested. This would keep the course much more concise for people who just want to know how to use it and common problems/solutions.	4
18-Feb-2020			Humanities	StaffNet Learning and Development page	Python, Bash, Java	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to HPC using CSF	Nothing really; absolutely enjoyed this course as it was really help- and insightful	GPU computing and CUDA	As above, more CUDA 	It would be great to have a CUDA/NVIDIA course asap :)	5
18-Feb-2020			Science and Engineering	A University email list	Python	None	None	Introduction to HPC using CSF	usually courses this long offer lunch!	bash scripting		very good course thank you!	5
18-Feb-2020			Biology, Medicine and Health	Supervisor	None	None	None	Introduction to HPC using CSF	none	writing job scripts			5
18-Feb-2020			Science and Engineering	Word of mouth	MATLAB, C/C++	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to iCSF & CSF	Everything was good	Learning and explanationn of submitting jobs	more inclined towards CFD, e.g. openfoam model implementing		4
18-Feb-2020			Science and Engineering	StaffNet Learning and Development page	C/C++, Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing	Data analysis using R	In my opinion, the file transfer should not be a seperated section because mobaxterm is very straightforward and linux user could know how to use command line to transfer file. Maybe the login and file transfer can be combined to one section. The parallel job and job array part lack practise page, which is unnatural, because there is already code in the directory.	Job array lesson because it is tricky and important for efficiency.	Data science tools like Jupyter Notebook is not covered, this tool is very popular for data scientist and presentation because It is very suitable for visualization and support many language execuate on fly.	I think the word speed could be more quick, current speed makes me sleepy...	4
18-Feb-2020			Biology, Medicine and Health	StaffNet Learning and Development page	R, Perl	None	None	Introduction to HPC using CSF	None, I feel the lession is delivered effectively	Array job submission		I like the course materials is provided electronically. Providing paper version to everyone is a waste of resources.	5
27-Feb-2020			Science and Engineering	Research IT newsletter (researchitnews.org)	Fortran, C/C++, Python, Bash	Just started	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Automation and Make	Everything alright	N/A	N/a	N/A	5
27-Feb-2020			Science and Engineering	StaffNet Learning and Development page	MATLAB	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Everything was perfect	everything was organised and the instruction was clear			5
27-Feb-2020			Science and Engineering	A University email list	MATLAB, Fortran, C/C++, Python, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Version control with Git and GitHub	Maybe slow down a bit	Exercises			4
27-Feb-2020			Science and Engineering	StaffNet Learning and Development page	R	None	Code reviews	Version control with Git and GitHub	slow down little bit 	Linux commands			3
27-Feb-2020			Science and Engineering	Supervisor	MATLAB, Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Version control with Git and GitHub	None	head and master			4
27-Feb-2020			Biology, Medicine and Health	Research IT newsletter (researchitnews.org)	Stata	None	None	Version control with Git and GitHub	Work at a slightly slower pace	branching			4
27-Feb-2020			Science and Engineering	Supervisor	Python	None	None	Version control with Git and GitHub	Explication a little bit more slow (and the instructions more clear)	Branching			3
27-Feb-2020			Science and Engineering	Rsearch software engineering module	MATLAB, Python	None	None	Version control with Git and GitHub	More examples of how github works in practice, as a text file is not common to work on	"
Saving/updating repositories to remote"	How it works in practice with other files than txt	Should be a set break in morning and afternoon 	3
27-Feb-2020			Science and Engineering	MATS64662 module	MATLAB, Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Image processing	Version control with Git and GitHub	N/A	N/A			5
27-Feb-2020			Science and Engineering	Supervisor	Python	None	None	Version control with Git and GitHub	Go slower at moments where different pop ups come up (eg paper.md) as students cannot see the code you have typed in after you press enter. Give people a chance to get it typed out before pressing enter.	Undoing changes	More practical examples of where/when to use Git and GitHub and the true power of the programme to provide context to the sessions.	TAs were quick to help.	3
27-Feb-2020			Science and Engineering	StaffNet Learning and Development page	MATLAB	None	None	Version control with Git and GitHub	Maybe, comment more on the possible applications of the VSC	"""Undoing changes"" was not very clear (for me)"		Generally it was a good course. However, it was difficult to follow the speaker.	4
27-Feb-2020			Science and Engineering	CDT Module	MATLAB	None	None	Version control with Git and GitHub	Taken more time on sections that are particularly tricky or when a lot of red post-its were shown	It was all quite rushed, more clarity and practice on ALL sections would have been useful (I was lost by the end of commit advice, despite help from demonstrators).	Setting up Git on own laptops/computers and troubleshooting. It doesn't seem useful to know how to use Github without being able to apply it to own work and personal use.	Making use of already available and well established online resources would be good, signposting of additional resources for clarification would be helpful	2
27-Feb-2020			Science and Engineering	StaffNet Learning and Development page	Fortran, C/C++, Python, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Version control with Git and GitHub	Everything was great	Exploring branching even more			5
